time,ts_ms,price,volume
2025-09-23T02:00:00Z,1758593975873,0.9989,239.99
2025-09-23T02:00:00Z,1758593984141,0.9989,240.95
2025-09-23T02:00:00Z,1758593993536,0.9989,239.75
2025-09-23T02:00:00Z,1758593996786,0.9989,240.71
2025-09-23T02:00:00Z,1758594008103,0.9989,239.51
2025-09-23T02:00:00Z,1758594013580,0.9989,240.47
2025-09-23T02:00:00Z,1758594022806,0.9989,239.27
2025-09-23T02:00:00Z,1758594023631,0.9989,245.1
2025-09-23T02:00:00Z,1758594026184,0.9989,240.23
2025-09-23T02:00:00Z,1758594034091,0.9989,239.04
2025-09-23T02:00:00Z,1758594034287,0.9989,244.85
2025-09-23T02:00:00Z,1758594038528,0.9989,249.99
2025-09-23T02:00:00Z,1758594048627,0.9989,238.8
2025-09-23T02:00:00Z,1758594050454,0.9989,12.83
2025-09-23T02:00:00Z,1758594054760,0.9989,244.61
2025-09-23T02:00:00Z,1758594057286,0.9989,20968.63
2025-09-23T02:00:00Z,1758594057286,0.9989,10.24
2025-09-23T02:00:00Z,1758594057286,0.9989,4901.0
2025-09-23T02:00:00Z,1758594057286,0.9989,601888.98
2025-09-23T02:00:00Z,1758594057286,0.9989,207.62
2025-09-23T02:00:00Z,1758594057286,0.9989,450.33
2025-09-23T02:00:00Z,1758594057286,0.9989,48056.56
2025-09-23T02:00:00Z,1758594057286,0.9989,35.02
2025-09-23T02:00:00Z,1758594057286,0.9989,500.0
2025-09-23T02:00:00Z,1758594057286,0.9989,35897.1
2025-09-23T02:00:00Z,1758594057286,0.9989,38.17
2025-09-23T02:00:00Z,1758594057286,0.9989,23397.27
2025-09-23T02:00:00Z,1758594057286,0.9989,101180.12
2025-09-23T02:00:00Z,1758594057286,0.9989,1377.73
2025-09-23T02:00:00Z,1758594057286,0.9989,12.0
2025-09-23T02:00:00Z,1758594057286,0.9989,10.42
2025-09-23T02:00:00Z,1758594057286,0.9989,49386.52
2025-09-23T02:00:00Z,1758594057286,0.9989,103.0
2025-09-23T02:00:00Z,1758594057286,0.9989,29798.51
2025-09-23T02:00:00Z,1758594057286,0.9989,5000.0
2025-09-23T02:00:00Z,1758594057286,0.9989,10.3
2025-09-23T02:00:00Z,1758594057286,0.9989,10.45
2025-09-23T02:00:00Z,1758594057286,0.9989,2500.0
2025-09-23T02:00:00Z,1758594057286,0.9989,282.0
2025-09-23T02:00:00Z,1758594057286,0.9989,10.28
2025-09-23T02:00:00Z,1758594057286,0.9989,12377.14
2025-09-23T02:00:00Z,1758594057286,0.9989,139941.02
2025-09-23T02:00:00Z,1758594057286,0.9989,480.0
2025-09-23T02:00:00Z,1758594057286,0.9989,64435.78
2025-09-23T02:00:00Z,1758594057286,0.9989,28.8
2025-09-23T02:00:00Z,1758594057286,0.9989,10.42
2025-09-23T02:00:00Z,1758594057286,0.9989,10.48
2025-09-23T02:00:00Z,1758594057286,0.9989,102.0
2025-09-23T02:00:00Z,1758594057286,0.9989,10.47
2025-09-23T02:00:00Z,1758594057294,0.9989,2000.0
